id_allocine,Note de la critique,Date de publication,Critique
221267,"1,5",Publiée le 28 mai 2015,"Un film catastrophe de série B,réalisé avec peu de moyens et avec une distribution pas folichone.On y croit pas vraiment et heureusement,il n'est pas très long."
221267,"1,0",Publiée le 1 décembre 2016,"Wow voilà du mauvais film à tous les niveaux, jeu d'acteurs à la limite du supportable, un frère et une sœur qui aurait dû être petits amis vu le temps qu'ils passent dans les bras l'un de l'autre.... Et que dire du reste sans pleurer ?. Film suppose se passer en France mais plaques d'immatriculation des voitures russes !!! (d'ailleurs celle du père chargé entre l'entrée dans l'émotionnel et la sortie !!!) L'hélicoptère de l'armée est un hélicoptère russe avec l'étoile rouge dessus !!!! Les militaires français habillés comme des anglais.... Des rues qui sont très nettement d'un autre pays.... Etc.... Etc..... Ce film est l'apologie du faux raccord.... Alors ne perdez pas, comme moi, 1h25 de votre vie....."
221267,"1,5",Publiée le 22 janvier 2016,"Peu de moyens, peu de budget et des acteurs inconnus mais qui se démènent bien ! L'histoire abracadabrante, les dialogues très convenus et les effets spéciaux balbutiants ont bien du mal à nous faire adhérer."
221267,"5,0",Publiée le 4 octobre 2016,"Une pure merveille, un ovni passé malheureusement complètement inaperçu dans les salles obscures. Que dire de plus, de l'action, de l' émotion grâce à un jeu d'acteurs frisant la perfection. Une cohérence absolue dans les multiples scènes d'action époustouflantes. Et que dire du réalisme saisissant de ce sauvetage en hélico du haut de la tour Eiffel. Bref même si les effets spéciaux sont un petit poil en dessous de ce que l'on a l’habitude de voir maintenant, ce film restera un MUST du film catastrophe.J'ose espérer une suite, car la porte reste ouverte."
221267,"0,5",Publiée le 1 décembre 2016,"Au moins, il y a une constante dans ce film...c est la médiocrité; poussée à un niveau rarement atteint par les pires des nanars. Mais il faut lui reconnaître malgré tout, qu il pousse à la curiosité...histoire de savoir jusqu ou on peux s enfoncer dans les entrailles glaciales et abyssales du film catastrophe parfaitement raté. Le scénario, le jeu des acteurs (des figurants !? ), les effets spéciaux, la réalisation...la pauvreté des dialogues...bref : du caviar tartiné sur une belle part de foie gras. Si dans votre vie, vous avez 90 min à perdre...utilisez les à ne rien faire plutôt qu a visionner cette aberration televisuelle, vous aurez gagné votre journée...Personnellement, j ai passé ces 90 minutes à me demander comment de tels navets arrivent à trouver des producteurs. ""100 en dessous de 0"", au moins la note est toute trouvée. Chapeau bas messieurs!"
221267,"1,5",Publiée le 17 février 2015,"Film catastrophe à très petit budget ! Quand il tombe quelque chose, énormes grêlons ou blocs de pierre, c'est uniquement autour des héros, jamais un peu plus loin dans la rue, on voit des fissures apparaitre sur les immeubles mais aucun ne s'écroule. C'est bourré d’invraisemblances, il fait très froid mais pas tant que ça puisqu'il neige, une neige qui recouvre tout d'un épais manteau dans la campagne autour de Paris mais pas d'un millimètre ses rues, la tour Eiffel qui tombe (seul bâtiment qui chute dans le film) en plein sur... l'arc de triomphe, 
spoiler: 
des héros très malins qui, pour grimper dans un hélicoptère montent au premier étage de la tour en obligeant l'engin volant à se rapprocher dangereusement de l'édifice, avec en prime un vent violent, alors qu'il aurait été si simple de se poser sur le champs de mars, on est surpris que ces héros soient surpris par une embuscade de malfrats qu'ils n'avaient pas vu au milieu d'un tunnel rectiligne long et étroit éclairé à giorno
 etc... 
spoiler: 
Mais tout est bien qui fini bien puisque ces quelques américains sont sauvés, tant pis si l'ensemble des français est voué à la mort.
 Un bon petit divertissement si l'on n'est pas trop difficile."
221267,"1,5",Publiée le 1 décembre 2016,"Je ne m'attendais pas à grand chose, Asylum production oblige. Mais c'est drôle de voir que dès le début, les décors derrière le jeune couple sensé être à Paris ne correspondent pas. Je me demandais ce que c'était que ces bâtiments que je n'avais jamais vu, les rues me semblaient vraiment bizarre. Aaaaah ok, ils ont tourné en Hongrie, forcément! Seules la scène sur la Tour Eiffel est tournée à Paris. L'idée est sympathique, le film moins, une série Z comme sait si bien le faire Asylum production."
221267,"3,5",Publiée le 12 mai 2015,""" 100 below 0"" s'inscrit dans la ligné des ""Jour d'Après"" et autres films apocalyptiques toujours plaisant à voir. J'ai passé un bon moment en le regardant , je le conseille a quiconque souhaite enrichir sa culture apocalyptico-cinématographique!"
221267,"0,5",Publiée le 1 janvier 2017,"C'est mauvais , mais alors mauvais...S'en est meme pas amusant. ça commence par un ""dysfonctionnement barometrique"" , tout un programme ;o))"
221267,"2,5",Publiée le 7 août 2015,"Produit par ""Asylum"" ce film est dans la lignée de ce qu'ils ont l'habitude de faire, c'est-à-dire des films à petit budget avec des effets spéciaux pas très réussis, mais contrairement à beaucoup de leur film, je trouve que celui-ci est pas si mal du moins, il se laisse regarder. Ce n'est pas parfait et ça n'a pas la prétention de l'être, il y a beaucoup d'incohérences et d'invraisemblances sur le scénario et l'attitude des personnages, il y a quelques scènes kitsch, mais j'ai regardé ce film sans m'ennuyer et c'est déjà pas mal pour moi."
221267,"1,5",Publiée le 5 janvier 2017,"""100 degrés en-dessous de zéro"" est un titre mensonger, tout comme la jaquette du dvd. En effet, même si le scénario approche de celui de ""Le jour d'après"", vous ne verrez pas d'étendues gelées. De la neige, par contre, si, à partir de la moitié du film.Avant d'en venir à ma critique, je vais vous parler de ce qui a contribué à me faire regarder cette réalisation. En premier, c'est évidemment mon goût pour les films catastrophe. En second, et ce qui a vraiment joué ici, ce sont les critiques. Les critiques de nos ""amis"" spectateurs qui ont mis 5 étoiles, particulièrement. Notez que je mets le mot ""amis"" entre guillemets, car c'est ironique. Comme leurs critiques à 5 étoiles. Habituellement, je discerne très bien quand quelqu'un manie l'ironie, sauf que là, n'ayant pas lu beaucoup de propos extrêmes ni excentriques dans la partie des 5 étoiles, je me suis dit que le film valait peut-être le coup et ne serait pas décevant, comme le sont la plupart des télé-productions s'aventurant dans les registres de catastrophes mondiales.Vous l'aurez compris, j'ai été déçu. Autant les effets spéciaux sont plutôt sympathiques pour un téléfilm, l'histoire est passable même si c'est du déjà vu et que rien n'est vraiment développé, autant les dialogues et les clichés sont pénibles.Ce n'est pas particulièrement mal joué, c'est juste qu'évidemment les personnages principaux sont poursuivis par les forces de la nature, le frère et la sœur s'appellent constamment par leur prénom (ce n'est pas normal de le faire en permanence), et le frère passe son temps à tomber. Ça devient lassant assez rapidement, d'autant que les dialogues sont creux, encore et surtout entre le frère et sa sœur.Bref, ne perdez pas votre temps à regarder ce film. Certes, Sara Malakul Lane 
spoiler: 
surtout sa grosse poitrine
 vaut le coup d’œil, mais ce n'est pas une raison valable pour mobiliser 1h30 de votre temps."
221267,"2,5",Publiée le 24 janvier 2019,jai trouver cela plutot divertissant avec le froid qu'il faisait dehors je trouvais cela dans le ton . Meme si 1h20 et suffisant on attend vraiment le moment des catastrophes car sinon c'est lent . Après on voit bien que c'est un téléfilm pour direct video car on arrive facilement a savoir a quel moment les fond vert sont utiliser et la fausse pluie. Sinon pour l histoire elle est plutôt proche de le jour d après.
221267,"5,0",Publiée le 28 novembre 2016,"Excellent film catastrophe vraiment je vous le conseil ! Ouah je m'en suis pris plein la figure pendant 1h30, très bon acteurs effets spéciaux dément et surtout une très bonne moral un des meilleurs film catastrophe que j'ai vu!"
221267,"1,5",Publiée le 7 octobre 2017,"Tout petit film catastrophe fauché, avec une majorité d'acteurs inconnus dont la très belle Sara Malakul Lane et un scénario correct sur le papier mais réalisé vraiment avec des moyens trop faibles pour être visuellement et narrativement percutant. Dommage car la structure globale vaut bien d'autres films apocalyptiques."
221267,"5,0",Publiée le 29 novembre 2016,"Film époustouflant! Les effets spéciaux sont a couper le souffle, même si c'est parfois irréaliste mais c'est du cinéma! Bref a voir"
221267,"1,0",Publiée le 3 janvier 2017,"Un seul mot me vient à l'esprit après avoir regarder ce film...: FUYEZ.Effets spéciaux dignent d'une série B voir C. Décors en carton pâte... Un jeu d'acteurs plus que médiocre. Scénario truffé d'incohérence à tel point qu'on à presque l'impression qu'il manque des scènes. Des plans très mal filmés. Bref, vous l'aurez compris à regarder vraiment si vous n'avez rien d'autre à faire...Ce qui fait le plus peur dans ce film? Le fait que 16 personnes le trouvent époustouflant et tous le même jour, étrange n'est-il pas? Dont une personne qui la probablement regardé à deux reprises étant donné que pour lui il a durée de 2 h pour un film d'1 h 25???"
221267,"3,5",Publiée le 1 août 2017,"L'idée est très classique possédant une petite dose d'humour .L'histoire possède des incohérences , mais est quand même bien exploité .Le scénario est classique lui aussi .Les acteurs ont un jeu moyen .Un film classique à regarder sans chercher à comprendre ."
221267,"5,0",Publiée le 29 novembre 2016,J' avais peur d' être déçus après avoir vus les bandes annonces sur le net mais j' ai été scotché du début a la fin le film en lui même est superbement bien réussi les effets spéciaux sont tous simplement hallucinant quelque scène de bla bla mais il y en faut un peut.Je le conseil a tous les fan de film catastrophe du genre le jour d'après.
221267,"5,0",Publiée le 29 novembre 2016,"J'ai adoré ce film ! De très jolies effets spéciaux ! Un bon film à l'américaine, on sais à quoi s'attendre sur ce type de film ! On y trouve quelques clin d'œil aussi, sur un rythme bien étudié."
221267,"0,5",Publiée le 6 janvier 2017,"vous nous prenez pour des imbéciles ..il s agit clairement de lieux filmés a Budapest et vous voulez faire croire que c est a Paris , c est une blague?!? je suis choqué ....ah mzis oui on voit un plan de la tour eiffel ahaha!! on a du vous refuser la réalisation de ce film a Paris tant il était mauvais, le jeu d acteur du niveau des télé réalités , les effets spéciaux du niveau de mon voisin pour ses fêtes de Noël. j ai passé plus du temps a me demander comment ça se faisait que je ne connaissais pas cet endroit a Paris! on dirait une série pour les gamins dans les années 90! une honte de mettre un film pareil a la disposition de nos yeux et nos oreilles ! Budapest vous remercie mais surtout pas Paris"
221267,"0,5",Publiée le 5 février 2017,"j'ai vu des décors extraordinaires, entendu une musique envoutante ,sous le charme du plus beau film de ma vie et.......je me suis réveillé devant cette...bouse , bon...je savais que c’était un film catastrophe , donc ,une chance sur deux d'avoir un nanars , mais là..score battu , scénario nul et bourré d'invraisemblance , des acteurs dont les répliques sont si navrante ,que je me demande si le chômage ne les guette pas derrière ce film ,"" pas de grands acteurs mais ils étaient honorablement connus sur le petit écran"", des effets spéciaux comiques, (déjà dit : caméra qui tremble pour simuler un tremblement de terre , des scènes qui ont été tournées dans une ville qui ressemble de très loin à paris où l'action a normalement lieu,. .la scène amusante , la seule apparemment tournée a paris , sur la tour Eiffel, ou l'on vois une circulation urbaine normale , malgré la catastrophe et la course poursuite délirante ,dans le tunnel sous la manche qui s'écroule .c'est vraiment en dessous de zéro"
221267,"5,0",Publiée le 29 novembre 2016,"Super film! Extraordinaire! plein de sensation et de jamais vu , on imagine pas la fin du monde de cette façon!"
221267,"0,5",Publiée le 8 janvier 2017,"je m'attendais à un film du style le jour d'apres et j'ai vu le jour du néant. un film où tout est plat (sauf les formes de l'actrice). les dialogues sont creux les scenes d'action sont purement grotesques. Je vous conseille celles où ils volent des velos. Voler des velos à -20 degres et en ouvrant les cadenas avec une clef là où gerard jugnot aurait uriné sur la serrure....grotesque.un film qui me rapelle les nanars diffusés sur la tnt en 2eme partie de soiree.un niveau rarement atteint par les pires des nanars, un film de serie b voir c. Il est inutile pour vous de regarder ce film meme si vous avez 1h 20 à perdre."
221267,"5,0",Publiée le 29 novembre 2016,"Le talent des acteurs dans ce scenario certe classique mais si bien mené et rythmé fonctionne à merveille, les dialogues finements travaillés et les enjeux palpitants de chaque scène font de ce film excelent un must du genre, mémorable...."
221267,"5,0",Publiée le 29 novembre 2016,"Film américain ... J'ai bien aimé se film, les effets spéciaux sont superbe!!! L'histoire est un peu tiré par les cheveux mais je ne regrette rien mise a part les plans répétés ou l'ont voit le décors qui s'effondre derrière les personnages tous au long du film..."
221267,"4,0",Publiée le 29 novembre 2016,"Amateur de grand spectacle saupoudré de morale à l'américaine, ce film est pour vous! On n'en reçoit plein les yeux pendant 1h30... si au début les images impressionnent bien que par moment c'est tellement ridicule qu'on a envie de rire plutôt qu'autre chose , à la fin on prie presque pour qu'elle vienne cette fin du monde! Bref , très bon divertissement , quelques scènes et personnages marrant voir attachant. 4/5"
221267,"4,0",Publiée le 29 novembre 2016,"Les amateurs de film catastrophes seront aux anges ! Voici une déferlante d'effets spéciaux ! Un film niveau mise en scènes vraiment exceptionnelle. Le film est un peu trop long même si on voit pas le temps passer, je n'est pas trouvé les acteurs formidables..."
221267,"5,0",Publiée le 29 novembre 2016,"Un film qui en met plein les yeux tout simplement. On ne s' ennuis jamais ! On sens l'expérience réalisateur dans l'enchainement du film. Les effets spéciaux sont tout simplement spectaculaires, un réalisme à couper le souffle. ""On s""y croirait"" L'acteur principal joue son rôle assez bien, beaucoup d'acteurs en second plan qui sont aussi convaincants. Malgré le film assez ""américain"" qui est propre au réalisateur. A voir"
221267,"5,0",Publiée le 29 novembre 2016,"Effets spéciaux grandioses. 2h40 de sensations fortes. Petit bémol pour l'histoire du héros. Il réussit tout, il échappe à tout, et, au final, a une fin heureuse. Toujours pareil avec les films américains."
221267,"5,0",Publiée le 29 novembre 2016,"Super film de catastrophe, spectaculaire de par les effets spéciaux même s'il a suscité des délires chez certain!!!! à voir absolument."
221267,"5,0",Publiée le 29 novembre 2016,L’excellent film a effets spéciaux est enfin arrive Ce chef d’œuvre est exceptionnel Les effets spéciaux ont énormes et la musique extra Les acteurs sont très doués et les décors sont époustouflants Tout est merveilleux!!
221267,"5,0",Publiée le 29 novembre 2016,"Bon petit film qui en met plein la gueule mais avec une histoire un peu légère, dans ce registre les Américains sont vraiment les meilleurs."
221267,"5,0",Publiée le 29 novembre 2016,"Le premier mot qui m'est venu à la fin du film est ""ouaah..!"". Il est énorme, époustouflant. J'ai frissonné.La touche d'humour est bien agréable."
221267,"5,0",Publiée le 29 novembre 2016,"Du grand art en matière de destruction massive !! les scènes de ""poursuite"" sont a couper le souffle (J'ai enfin compris le vrai sens de cette expression... j'avais véritablement le souffle coupé). Mais le scénario n'est là que pour justifier les FX évidemment spectaculaires, on nage dans le film catastrophe ricain de base, les sentiments et la crédibilité n'ont pas leur place! La dernière 1/2 heure est une scene de Poséidon en moins bien. Le dénouement n'est finalement pas trop mal. Maintenant que vous êtes prévenus... Amateur de grands spectacle, foncez!! 5/5"
221267,"5,0",Publiée le 29 novembre 2016,"J'ai adoré ce film ! De très jolies effets spéciaux ! Un bon film à l'américaine, on sais à quoi s'attendre sur ce type de film ! On y trouve quelques clin d'œil aussi, sur un rythme bien étudié."
221267,"0,5",Publiée le 17 août 2019,"Je ne sais par quelle motivation, ni dans quel but le réalisateur a voulu créer ce navet de pacotille, mais une chose est sûre, c'est son désamour certain pour Paris et la France qu'il veut voir se détruire ! Il n'y a pas de doute !Les acteurs sont plus souvent le cul par terre, tels de larves rampantes et vautrés, une fois, deux fois mois là, ça en devient risible, sans oublier les effets spéciaux pathétiques et de ma pire espèce, d'un goût particulièrement amateur ! Bref, une véritable parodie !"
221267,"1,0",Publiée le 31 décembre 2016,"Mega daube intergalactique. Scénario, réalisation, jeux des acteurs, doublage. Tout est naze. J'en ai même eu des fous rires tellement c'était mauvais ! Passez votre route."
221267,"0,5",Publiée le 2 octobre 2020,"un scenario incoherant, des dialogues creux, un scenario sensé se passr a paris et on voit bien que ce n'est pas le casbref un bon gros nanard"
221267,"0,5",Publiée le 1 septembre 2020,"Le titre vaut la note ...peut etre si vous voulez rigoler tellement c'est grotesque ...enfin non . C est même pas drôle ,..."
221267,"0,5",Publiée le 2 janvier 2017,"Cest Super mal fait scénario bidon , les discourts pas du tout crédible , mise en scène pitoyable quelle perte de temps on a plus rigoler sur les effets spéciaux très spéciaux lol non franchement pas du tout avoir decribiliser des acteurs avec ce films cest domage !"
221267,"2,0",Publiée le 22 janvier 2016,"L'idée est intéressante, pour un film série B. Une famille américaine doit être sauvée du naufrage glaciaire de l'Europe du à des éruptions volcaniques (et pas d'acné), et va y parvenir grâce à un officier de l'OTAN et au père des enfants, qui a sauvé la vie à l'officier. Le suspense y est, les rebondissements aussi; on n'en peut plus de savoir si ils vont, à travers les incohérences du film, y arriver, et on respire à la fin, quand ils sont en route, enfin, vers leur terre d'accueil, l'Australie. Et tant pis pour les 500 millions d'européens qui restent, ils n'avaient qu'à être américains ou avoir le sens du suspense. Bref, on ne fait pas de bons pots aux feux, sans navets ;)."
221267,"0,5",Publiée le 1 octobre 2017,"Ce film est nul ! je l'ai regardé ce soir mais je ne pouvais pas imaginer à quel point il était si mauvais.1 - Toutes les scènes ont été filmées sur un fond vert et les effets spéciaux sont décevants. Ils sont encore pire que Sharknado (désolé pour ceux qui aiment ce film) et il y a un vrai manque de technique de la part de l'équipe. Les perspectives et les échelles ne sont pas respectées et on a clairement l'impression, dans certaines occasions, que les acteurs lévitent ou font la taille d'un Cargobob. J'aimerai pas savoir combien ça a couté de faire ce film parce que j'ai l'impression qu'on peut le faire chez soi avec un Iphone, Affter effect, Premiere, et le petit frère pour les effets spéciaux. 2 - Le scénario est... juste waouh. Il y a un tas de détails qui n'ont aucun sens. 
spoiler: 
(Spoiler : Ils ont froid - ça ils nous le disent toutes les 5 minutes donc on comprend au bout d'un moment - et ils ont rien d'autre sur le dos que des t-shirts, ils tombent nez à nez avec un mec mort qui porte un blouson et personne ne pense a prendre le blouson du mort - qui n'en aura plus besoin on est d'accord - pour eux-mêmes. Ils sont quand même idiots... Et l'accident de voiture avec juste le pare-choc d'un petit peu plié, qui tue deux personnes à l'avant du véhicule et entraîne une explosion... à d'autres)
 3 - Oh Mon Dieu ! Qui sont-ils ? S'il vous plait ! Le jeu d'acteur est mauvais, ils sont tous en train de surjouer c'est inconcevable de voir ça. Il y a des personnages qui ne servent a rien (a part peut-être faire de l'audience chez les mecs de 16 à 25 ans, et encore).4 - Enfin, j'aimerai parler des éléments de décor. Une grande partie du film a lieu à Paris, en France, et je suis certain qu'aucun membre de l'équipe du film a déjà mis un pied en France et qu'il ne connaissent pas un mot de français. Je ne sais, certes, pas bien parler ou écrire en anglais mais je sais reconnaître certains mots. on ne trouvera jamais un panneau ""ZONA 30"" dans les rues de Paris ou un panneau ""ENTRY/EXIT"" sur une porte de service. Et puis mince, nos plaques d'immatriculation c'est pas rouge sur fond blanc, c'est belge comme plaque alors ça m'étonnerai que l'armée française ait ce genre de plaque.J'aurais bien mis 0/5 mais on ne peut pas mettre moins de 0.5/5. En tout cas, je ne recommande pas du tout ce film. Ou alors avec des potes, une bière à la main et 10 autres dans le sang. (l'abus d'alcool est dangereux, faites gaffe quand même les amis)"
221267,"4,5",Publiée le 29 novembre 2016,"Ce film a fait parler pour ces effets spéciaux, j'ai compris pourquoi. Ils sont sublimes et sont le point fort de ce film qui est visuellement monstrueux, c'est magnifique. On a le droit à un scénario expliqué et ""possible"". En effet, bien que cela soit physiquement possible, la durée des évènements (tout comme Le jour d'après) est un peu exagéré. Les acteurs sont assez convainquant. Seul problème dans le coté cliché...oui non devons nous unir et rester ensemble coute que coute. C'est vu et revu mais bon, d'un autre coté, des morales ""nouvelles"" sont très difficiles à trouver. Un film à voir pour en prendre plein les yeux."
221267,"4,5",Publiée le 29 novembre 2016,"Un bon 4.5 sur 5 pour cette réussite visuelle, bien sûr on ne va pas voir ce film pour le scenario, le suspense ou autre... On y va pour en prendre plein la tête, voir des images spectaculaires, des scènes catastrophe impressionnantes et là... c'est réussi."
221267,"4,0",Publiée le 29 novembre 2016,"Moins bien que"" le jour d'après"" pour le produit final. Mais plein les yeux avec ses effets spéciaux. Reste que la fin du film est un peu lourd....Mais 4 étoiles bien méritées!!!"
221267,"0,5",Publiée le 15 avril 2019,"Vraiment n'importe quoi!! Très mal joué.
spoiler: 
 Les frères qui tombent et c'est évanouissent
 à cuse d'un p'tit accident avec un autre personne. La fille qui a peur de tout... Pfff Un film de catastrophe, et catastrophe de film."
221267,"0,5",Publiée le 28 mars 2017,"Censé se dérouler à Paris, tout est tourné à Budapest.... je ne pensais même pas que ce soit possible d'être aussi éloigné de la réalité.... En clair, film vraiment nul, les dialogues sont stupides, les jeux d'acteurs atroces.... tout est nul. Biensur inutile de parler de tous les aspects techniques... un cas d'école ce film! Ne détend même pas à vrai dire...."
221267,"3,0",Publiée le 19 décembre 2019,"Pas mal mais beaucoup de faux raccord.Petit détail du film, pour Michel et michel:Plaque immatriculation, rue de paris...Scène à la tour Eiffel ou paris évacuer on voit des bus et touristes au fond...Mise à part ça j aime bien"
